,calories,protein,fat,sodium,rating
3733,401.0,22.0,18.0,402.0,4.375
3734,496.0,29.0,32.0,559.0,4.375
3736,309.0,41.0,14.0,301.0,3.75
3737,1013.0,71.0,75.0,145.0,4.375
3738,166.0,12.0,9.0,824.0,4.375
3739,138.0,3.0,8.0,14.0,3.125
3740,859.0,8.0,50.0,486.0,4.375
3741,420.0,7.0,5.0,67.0,3.75
3742,182.0,1.0,0.0,3.0,3.75
3743,158.0,1.0,14.0,6.0,3.75
3744,169.0,10.0,5.0,352.0,3.125
3745,129.0,1.0,0.0,12.0,4.375
3746,120.0,2.0,7.0,34.0,3.125
3747,223.0,7.0,13.0,74.0,4.375
3748,306.0,9.0,14.0,453.0,0.0
3749,529.0,27.0,45.0,186.0,3.75
3751,1497.0,54.0,129.0,1466.0,4.375
3752,661.0,37.0,56.0,159.0,3.125
3754,342.0,1.0,3.0,6.0,5.0
3755,299.0,14.0,9.0,75.0,4.375
3757,212.0,0.0,0.0,585.0,1.875
3758,710.0,45.0,51.0,2284.0,3.75
3759,1378.0,196.0,55.0,1632.0,5.0
3761,191.0,0.0,0.0,1434.0,3.125
3763,324.0,12.0,2.0,404.0,4.375
3764,523.0,6.0,25.0,302.0,5.0
3765,153.0,2.0,6.0,51.0,4.375
3766,452.0,8.0,24.0,1351.0,4.375
3767,264.0,4.0,1.0,173.0,3.75
3769,143.0,1.0,11.0,123.0,4.375
3770,235.0,11.0,11.0,296.0,4.375
3771,937.0,68.0,71.0,439.0,4.375
3772,585.0,42.0,43.0,130.0,3.75
3775,445.0,17.0,37.0,643.0,5.0
3777,613.0,7.0,42.0,140.0,3.125
3778,136.0,2.0,0.0,31.0,5.0
3779,420.0,41.0,17.0,802.0,3.75
3780,447.0,7.0,20.0,227.0,4.375
3781,1167.0,105.0,30.0,460.0,4.375
3783,113.0,1.0,11.0,27.0,5.0
3784,182.0,9.0,12.0,371.0,4.375
3785,1193.0,95.0,65.0,853.0,4.375
3786,258.0,3.0,0.0,48.0,0.0
3787,243.0,0.0,0.0,3.0,5.0
3789,124.0,2.0,0.0,78.0,3.75
3790,504.0,5.0,37.0,183.0,4.375
3792,272.0,17.0,20.0,940.0,0.0
3793,1085.0,89.0,67.0,758.0,4.375
3794,129.0,0.0,14.0,217.0,5.0
3795,363.0,5.0,30.0,21.0,4.375
3797,1134.0,82.0,84.0,514.0,4.375
3798,445.0,6.0,28.0,220.0,4.375
3799,320.0,8.0,13.0,191.0,3.75
3801,343.0,27.0,25.0,72.0,5.0
3803,462.0,45.0,18.0,662.0,4.375
3804,356.0,25.0,22.0,937.0,5.0
3805,231.0,6.0,17.0,164.0,4.375
3806,284.0,10.0,25.0,635.0,3.75
3808,184.0,4.0,11.0,57.0,0.0
3809,224.0,11.0,16.0,156.0,5.0
3810,350.0,11.0,9.0,267.0,3.75
3811,338.0,5.0,13.0,213.0,3.75
3812,624.0,8.0,28.0,380.0,4.375
3813,128.0,2.0,13.0,2.0,0.0
3816,160.0,3.0,15.0,126.0,5.0
3817,382.0,58.0,14.0,182.0,3.75
3821,359.0,4.0,29.0,753.0,4.375
3822,291.0,6.0,25.0,10.0,3.75
3823,213.0,0.0,0.0,3.0,4.375
3825,374.0,36.0,23.0,902.0,3.75
3826,241.0,23.0,13.0,654.0,3.75
3827,148.0,0.0,16.0,35.0,5.0
3828,250.0,8.0,18.0,888.0,3.75
3829,242.0,4.0,13.0,286.0,4.375
3830,1851.0,242.0,73.0,1533.0,4.375
3831,296.0,13.0,3.0,736.0,5.0
3832,708.0,42.0,59.0,135.0,3.75
3833,694.0,48.0,30.0,3036.0,3.125
3834,1134.0,82.0,84.0,514.0,4.375
3835,507.0,16.0,24.0,916.0,3.75
3837,252.0,4.0,15.0,243.0,5.0
3838,159.0,12.0,12.0,189.0,3.75
3840,174.0,2.0,12.0,44.0,4.375
3842,172.0,11.0,14.0,430.0,3.125
3843,489.0,3.0,33.0,1459.0,3.125
3844,531.0,7.0,34.0,327.0,3.75
3846,240.0,8.0,10.0,282.0,5.0
3848,645.0,22.0,55.0,355.0,4.375
3849,138.0,3.0,4.0,28.0,4.375
3850,191.0,1.0,5.0,1505.0,3.75
3851,388.0,25.0,26.0,429.0,4.375
3852,152.0,2.0,5.0,36.0,0.0
3853,296.0,1.0,0.0,20.0,4.375
3854,909.0,32.0,50.0,2226.0,3.75
3855,998.0,65.0,80.0,398.0,3.75
3856,458.0,18.0,22.0,588.0,4.375
3857,185.0,0.0,20.0,42.0,3.75
3858,251.0,10.0,8.0,176.0,3.75
3860,798.0,78.0,49.0,998.0,5.0
3861,200.0,5.0,8.0,63.0,3.75
3862,715.0,77.0,10.0,2734.0,4.375
3864,316.0,4.0,20.0,149.0,4.375
3866,269.0,4.0,15.0,591.0,5.0
3867,786.0,10.0,33.0,480.0,3.75
3868,494.0,4.0,24.0,115.0,4.375
3869,153.0,14.0,4.0,56.0,4.375
3871,348.0,5.0,18.0,18.0,4.375
3872,152.0,6.0,12.0,150.0,4.375
3874,640.0,28.0,34.0,547.0,3.75
3875,684.0,10.0,58.0,338.0,4.375
3876,239.0,5.0,15.0,113.0,4.375
3877,739.0,25.0,45.0,637.0,4.375
3878,221.0,23.0,10.0,499.0,3.75
3879,253.0,11.0,18.0,564.0,4.375
3880,245.0,26.0,12.0,793.0,4.375
3881,209.0,10.0,17.0,486.0,4.375
3882,1359.0,17.0,85.0,109.0,5.0
3884,258.0,2.0,13.0,123.0,5.0
3887,313.0,5.0,11.0,188.0,4.375
3888,541.0,44.0,31.0,1510.0,4.375
3889,213.0,4.0,0.0,27.0,0.0
3892,524.0,6.0,34.0,411.0,0.0
3894,196.0,11.0,15.0,324.0,4.375
3895,770.0,28.0,37.0,1170.0,3.75
3896,443.0,13.0,22.0,405.0,4.375
3897,174.0,4.0,10.0,167.0,4.375
3898,762.0,7.0,76.0,522.0,4.375
3901,352.0,5.0,25.0,21.0,3.125
3902,282.0,4.0,17.0,303.0,3.75
3904,474.0,68.0,22.0,394.0,4.375
3905,267.0,1.0,21.0,190.0,3.75
3906,242.0,2.0,15.0,6.0,0.0
3907,163.0,0.0,0.0,0.0,5.0
3908,122.0,6.0,4.0,140.0,2.5
3912,266.0,2.0,7.0,151.0,0.0
3914,168.0,3.0,7.0,11.0,3.75
3915,354.0,5.0,10.0,149.0,5.0
3916,379.0,5.0,17.0,27.0,5.0
3918,286.0,25.0,16.0,1658.0,4.375
3919,113.0,0.0,0.0,2.0,2.5
3921,1583.0,50.0,106.0,1631.0,4.375
3922,384.0,16.0,21.0,698.0,4.375
3923,660.0,29.0,27.0,884.0,0.0
3924,589.0,3.0,59.0,655.0,5.0
3925,269.0,13.0,12.0,769.0,4.375
3926,538.0,17.0,38.0,620.0,4.375
3927,291.0,6.0,15.0,168.0,4.375
3928,179.0,0.0,0.0,4.0,0.0
3929,356.0,46.0,10.0,1129.0,4.375
3930,619.0,49.0,23.0,239.0,3.75
3931,594.0,25.0,24.0,461.0,3.75
3933,281.0,7.0,9.0,523.0,4.375
3936,128.0,2.0,5.0,41.0,5.0
3937,350.0,3.0,11.0,452.0,3.125
3939,116.0,2.0,0.0,450.0,3.75
3940,146.0,2.0,0.0,8.0,3.75
3941,272.0,9.0,17.0,362.0,3.75
3942,503.0,19.0,43.0,1154.0,3.125
3943,625.0,1.0,22.0,60.0,3.75
3944,231.0,25.0,11.0,851.0,4.375
3946,250.0,9.0,6.0,463.0,5.0
3947,569.0,11.0,39.0,188.0,2.5
3948,119.0,17.0,5.0,149.0,5.0
3949,266.0,13.0,18.0,293.0,5.0
3950,250.0,11.0,16.0,445.0,4.375
3951,1613.0,97.0,109.0,618.0,4.375
3952,440.0,31.0,32.0,935.0,3.75
3954,265.0,4.0,21.0,18.0,5.0
3955,175.0,0.0,0.0,1.0,0.0
3956,645.0,28.0,55.0,1013.0,4.375
3957,226.0,1.0,1.0,16.0,4.375
3958,102.0,4.0,4.0,48.0,3.125
3959,210.0,0.0,1.0,6.0,4.375
3960,231.0,3.0,13.0,135.0,4.375
3961,182.0,0.0,0.0,12.0,4.375
3963,340.0,30.0,20.0,464.0,3.75
3964,412.0,7.0,26.0,901.0,3.75
3965,1593.0,81.0,123.0,949.0,4.375
3966,939.0,27.0,3.0,848.0,4.375
3967,1851.0,242.0,73.0,1533.0,4.375
3968,225.0,2.0,23.0,382.0,4.375
3969,1660.0,64.0,141.0,953.0,3.75
3970,489.0,21.0,29.0,895.0,3.75
3971,409.0,7.0,23.0,499.0,0.0
3972,686.0,36.0,57.0,160.0,4.375
3973,576.0,8.0,23.0,463.0,4.375
3974,379.0,5.0,28.0,137.0,4.375
3975,505.0,22.0,39.0,486.0,5.0
3976,338.0,10.0,11.0,228.0,3.125
3977,435.0,10.0,11.0,244.0,5.0
3978,187.0,6.0,10.0,208.0,3.75
3981,403.0,5.0,19.0,243.0,4.375
3982,149.0,8.0,12.0,163.0,4.375
3983,431.0,24.0,24.0,946.0,3.125
3984,869.0,50.0,58.0,1330.0,4.375
3986,234.0,6.0,11.0,38.0,3.75
3987,103.0,2.0,8.0,134.0,4.375
3988,885.0,36.0,38.0,655.0,4.375
3989,448.0,15.0,18.0,379.0,4.375
3990,826.0,9.0,71.0,135.0,4.375
3992,866.0,41.0,36.0,1070.0,4.375
3995,355.0,6.0,21.0,61.0,3.75
3996,248.0,9.0,11.0,376.0,3.75
3997,494.0,35.0,17.0,1064.0,5.0
3999,112.0,11.0,7.0,441.0,4.375
4000,127.0,6.0,5.0,118.0,4.375
4001,864.0,33.0,28.0,546.0,4.375
4005,387.0,3.0,18.0,182.0,4.375
4006,611.0,56.0,37.0,277.0,3.75
4007,286.0,6.0,1.0,18.0,5.0
4008,475.0,49.0,29.0,202.0,5.0
4009,171.0,4.0,16.0,89.0,3.75
4010,288.0,13.0,18.0,524.0,4.375
4011,229.0,2.0,10.0,132.0,4.375
4012,116.0,0.0,0.0,2.0,0.0
4013,270.0,5.0,14.0,438.0,4.375
4014,365.0,4.0,37.0,477.0,4.375
4015,696.0,18.0,11.0,872.0,3.75
4017,1458.0,50.0,76.0,868.0,2.5
4018,148.0,0.0,16.0,35.0,5.0
4019,123.0,4.0,9.0,404.0,4.375
4021,430.0,6.0,23.0,278.0,4.375
4022,398.0,16.0,35.0,504.0,4.375
4023,1161.0,59.0,71.0,587.0,4.375
4025,449.0,12.0,14.0,225.0,0.0
4026,166.0,0.0,0.0,1.0,5.0
4028,875.0,6.0,38.0,210.0,4.375
4029,270.0,21.0,5.0,142.0,3.75
4030,711.0,61.0,48.0,1961.0,3.75
4033,1450.0,171.0,73.0,37191.0,5.0
4034,1201.0,9.0,62.0,175.0,5.0
4035,136.0,4.0,4.0,318.0,3.125
4036,759.0,37.0,40.0,1019.0,4.375
4037,282.0,6.0,15.0,2.0,4.375
4038,139.0,2.0,8.0,416.0,3.125
4039,390.0,5.0,23.0,125.0,4.375
4041,241.0,1.0,0.0,7.0,5.0
4042,302.0,13.0,23.0,87.0,4.375
4044,219.0,10.0,13.0,239.0,3.75
4046,147.0,4.0,10.0,31.0,3.75
4047,1358.0,51.0,90.0,705.0,4.375
4048,825.0,30.0,52.0,1212.0,4.375
4049,1344.0,13.0,77.0,57.0,1.25
4050,213.0,7.0,11.0,526.0,3.75
4053,272.0,2.0,1.0,3.0,3.75
4055,231.0,1.0,0.0,2.0,4.375
4057,204.0,4.0,21.0,244.0,0.0
4058,186.0,3.0,3.0,923.0,3.75
4059,229.0,20.0,12.0,468.0,4.375
4062,505.0,9.0,28.0,12.0,5.0
4063,327.0,11.0,17.0,185.0,4.375
4065,210.0,2.0,19.0,401.0,4.375
4067,702.0,15.0,33.0,331.0,3.75
4068,218.0,5.0,4.0,56.0,4.375
4072,757.0,43.0,61.0,1212.0,3.75
4073,941.0,12.0,51.0,340.0,4.375
4075,442.0,15.0,29.0,695.0,0.0
4076,242.0,1.0,22.0,41.0,4.375
4078,881.0,27.0,52.0,816.0,3.75
4079,694.0,50.0,48.0,170.0,3.125
4080,414.0,6.0,30.0,29.0,3.75
4081,619.0,1.0,30.0,36.0,4.375
4082,405.0,10.0,14.0,252.0,3.125
4083,116.0,2.0,5.0,56.0,4.375
4085,175.0,6.0,12.0,135.0,4.375
4086,567.0,55.0,37.0,629.0,3.75
4087,335.0,5.0,34.0,272.0,5.0
4088,395.0,21.0,18.0,939.0,5.0
4090,454.0,28.0,16.0,805.0,3.125
4093,461.0,18.0,19.0,411.0,3.75
4094,294.0,7.0,12.0,350.0,4.375
4095,289.0,13.0,17.0,261.0,4.375
4096,102.0,1.0,5.0,394.0,3.75
4098,1810.0,81.0,160.0,550.0,4.375
4099,669.0,19.0,33.0,760.0,3.75
4100,285.0,5.0,6.0,386.0,1.25
4102,206.0,1.0,0.0,3.0,4.375
4103,219.0,0.0,0.0,4.0,3.75
4104,208.0,5.0,1.0,91.0,5.0
4105,1243.0,37.0,118.0,1944.0,3.75
4106,489.0,6.0,37.0,39.0,4.375
4108,390.0,10.0,21.0,240.0,4.375
4109,154.0,3.0,3.0,40.0,4.375
4110,1014.0,58.0,71.0,115.0,3.75
4112,1378.0,69.0,105.0,3835.0,4.375
4113,542.0,18.0,34.0,780.0,3.75
4114,166.0,21.0,4.0,813.0,3.125
4116,196.0,11.0,11.0,626.0,3.75
4117,927.0,9.0,39.0,60.0,3.75
4118,1251.0,67.0,50.0,2056.0,4.375
4119,400.0,1.0,0.0,5.0,3.125
4120,232.0,9.0,20.0,489.0,5.0
4121,516.0,14.0,38.0,349.0,4.375
4122,202.0,7.0,8.0,488.0,4.375
4125,583.0,49.0,18.0,641.0,4.375
4126,966.0,33.0,43.0,1594.0,3.125
4127,672.0,36.0,32.0,1794.0,3.75
4128,248.0,32.0,12.0,409.0,5.0
4129,1546.0,126.0,110.0,1513.0,3.75
4130,1416.0,76.0,95.0,1158.0,4.375
4132,184.0,3.0,14.0,30.0,5.0
4134,438.0,23.0,34.0,794.0,5.0
4135,809.0,23.0,66.0,1101.0,4.375
4136,300.0,29.0,10.0,285.0,3.125
4137,206.0,8.0,15.0,389.0,3.125
4138,156.0,0.0,0.0,3.0,0.0
4139,349.0,26.0,16.0,384.0,3.125
4140,942.0,75.0,66.0,244.0,4.375
4141,607.0,14.0,39.0,166.0,4.375
4142,636.0,27.0,34.0,658.0,4.375
4144,1667.0,101.0,139.0,996.0,0.0
4147,188.0,4.0,11.0,34.0,4.375
4148,511.0,20.0,28.0,451.0,3.75
4149,556.0,21.0,42.0,1590.0,4.375
4150,601.0,14.0,25.0,599.0,3.125
4151,154.0,0.0,0.0,2.0,3.75
4152,452.0,3.0,41.0,811.0,4.375
4153,179.0,2.0,6.0,890.0,3.75
4154,666.0,17.0,30.0,587.0,4.375
4155,1920.0,77.0,139.0,2265.0,4.375
4156,249.0,11.0,21.0,399.0,3.75
4157,375.0,4.0,12.0,116.0,4.375
4159,252.0,6.0,5.0,1792.0,3.75
4161,129.0,6.0,11.0,190.0,3.75
4162,340.0,9.0,14.0,258.0,3.125
4163,155.0,2.0,16.0,110.0,4.375
4165,117.0,5.0,6.0,713.0,3.125
4166,337.0,3.0,11.0,17.0,4.375
4167,1364.0,75.0,103.0,894.0,3.75
4170,339.0,2.0,29.0,135.0,0.0
4171,386.0,2.0,42.0,74.0,4.375
4172,352.0,20.0,7.0,1181.0,4.375
4173,287.0,11.0,20.0,878.0,5.0
4174,445.0,24.0,20.0,432.0,3.125
4175,307.0,18.0,25.0,523.0,4.375
4177,610.0,73.0,26.0,172.0,4.375
4178,241.0,22.0,11.0,860.0,5.0
4179,277.0,4.0,13.0,198.0,4.375
4180,192.0,6.0,8.0,336.0,3.75
4181,487.0,8.0,33.0,161.0,0.0
4183,209.0,9.0,5.0,364.0,3.125
4184,328.0,12.0,21.0,109.0,4.375
4185,305.0,0.0,0.0,5.0,0.0
4186,177.0,1.0,0.0,39.0,4.375
4187,288.0,5.0,14.0,350.0,3.125
4192,1364.0,176.0,64.0,1333.0,5.0
4193,156.0,0.0,0.0,2.0,0.0
4194,508.0,16.0,32.0,1378.0,4.375
4195,129.0,6.0,8.0,265.0,4.375
4196,145.0,2.0,0.0,2569.0,3.75
4198,173.0,0.0,0.0,14.0,5.0
4199,384.0,0.0,0.0,2.0,2.5
4200,240.0,4.0,12.0,406.0,5.0
4201,120.0,2.0,6.0,34.0,3.75
4202,342.0,6.0,18.0,70.0,3.75
4203,757.0,41.0,35.0,1757.0,4.375
4205,583.0,38.0,40.0,1285.0,3.125
4206,346.0,7.0,10.0,207.0,3.75
4208,556.0,20.0,16.0,232.0,3.125
4210,322.0,1.0,5.0,69.0,4.375
4212,326.0,45.0,13.0,848.0,4.375
4214,295.0,2.0,18.0,17.0,4.375
4215,495.0,13.0,14.0,67.0,4.375
4216,329.0,11.0,21.0,700.0,3.75
4218,313.0,13.0,17.0,74.0,3.75
4219,180.0,9.0,7.0,307.0,4.375
4221,907.0,33.0,85.0,709.0,4.375
4223,473.0,21.0,17.0,834.0,3.125
4224,262.0,32.0,15.0,471.0,4.375
4225,123.0,5.0,9.0,219.0,3.75
4228,145.0,2.0,13.0,369.0,5.0
4230,829.0,25.0,17.0,1187.0,3.75
4231,444.0,37.0,10.0,102.0,5.0
4232,286.0,4.0,19.0,59.0,4.375
4233,213.0,3.0,17.0,60.0,4.375
4234,260.0,4.0,14.0,39.0,5.0
4235,567.0,31.0,31.0,762.0,4.375
4236,428.0,17.0,25.0,1039.0,4.375
4237,247.0,32.0,12.0,40.0,4.375
4238,251.0,2.0,19.0,23.0,3.75
4239,324.0,6.0,27.0,46.0,0.0
4240,131.0,9.0,10.0,214.0,5.0
4241,407.0,8.0,23.0,177.0,5.0
4244,750.0,34.0,52.0,864.0,4.375
4245,286.0,5.0,4.0,60.0,5.0
4246,237.0,13.0,10.0,554.0,3.75
4247,205.0,4.0,14.0,73.0,4.375
4248,711.0,7.0,38.0,252.0,4.375
4249,169.0,4.0,2.0,27.0,5.0
4250,1049.0,59.0,60.0,609.0,4.375
4251,167.0,4.0,6.0,420.0,4.375
4252,734.0,40.0,49.0,280.0,3.75
4253,502.0,40.0,27.0,1202.0,3.75
4254,161.0,2.0,14.0,45.0,4.375
4255,339.0,2.0,29.0,135.0,0.0
4256,220.0,9.0,17.0,201.0,4.375
4257,249.0,9.0,12.0,644.0,5.0
4258,1020.0,15.0,53.0,923.0,3.75
4260,293.0,8.0,15.0,115.0,4.375
4261,202.0,4.0,19.0,311.0,4.375
4262,610.0,7.0,3.0,3836.0,1.25
4264,1072.0,9.0,32.0,735.0,4.375
4265,269.0,2.0,0.0,4.0,4.375
4266,800.0,9.0,70.0,131.0,5.0
4268,319.0,4.0,11.0,110.0,4.375
4270,1021.0,10.0,82.0,341.0,4.375
4271,1530.0,17.0,110.0,596.0,3.75
4273,134.0,4.0,7.0,233.0,4.375
4274,227.0,2.0,17.0,26.0,3.125
4276,593.0,26.0,23.0,890.0,3.75
4277,294.0,5.0,14.0,64.0,0.0
4278,230.0,6.0,18.0,124.0,5.0
4280,228.0,6.0,8.0,42.0,3.75
4281,394.0,23.0,28.0,907.0,4.375
4282,659.0,47.0,33.0,1993.0,4.375
4285,417.0,29.0,31.0,89.0,4.375
4286,292.0,4.0,14.0,175.0,5.0
4288,331.0,6.0,15.0,298.0,2.5
4289,1387.0,106.0,97.0,399.0,3.75
4290,354.0,3.0,18.0,16.0,3.125
4291,1861.0,69.0,160.0,541.0,3.75
4293,316.0,0.0,0.0,2.0,5.0
4294,419.0,14.0,13.0,349.0,5.0
4296,714.0,11.0,60.0,62.0,4.375
4297,642.0,12.0,38.0,328.0,4.375
4299,203.0,6.0,11.0,1040.0,3.75
4301,356.0,7.0,17.0,825.0,3.75
4305,482.0,35.0,24.0,2097.0,3.125
4306,562.0,32.0,29.0,422.0,4.375
4307,310.0,4.0,18.0,149.0,5.0
4308,103.0,10.0,6.0,37.0,4.375
4309,531.0,34.0,41.0,858.0,3.75
4310,345.0,51.0,14.0,266.0,0.0
4311,948.0,43.0,58.0,232.0,3.75
4314,283.0,6.0,26.0,372.0,3.75
4315,663.0,54.0,13.0,1795.0,0.0
4318,299.0,4.0,16.0,146.0,4.375
4320,1416.0,33.0,72.0,813.0,3.75
4321,551.0,41.0,38.0,332.0,4.375
4322,254.0,10.0,17.0,50.0,3.75
4323,599.0,8.0,44.0,253.0,4.375
4324,734.0,42.0,45.0,1906.0,3.75
4325,146.0,4.0,3.0,39.0,5.0
4327,524.0,7.0,23.0,182.0,4.375
4328,1429.0,68.0,125.0,1516.0,3.75
4329,363.0,54.0,9.0,1290.0,3.125
4332,311.0,2.0,0.0,2.0,3.75
4333,229.0,4.0,15.0,40.0,5.0
4336,695.0,24.0,41.0,596.0,3.75
4337,414.0,17.0,19.0,860.0,1.25
4338,272.0,3.0,12.0,231.0,3.75
4340,251.0,6.0,6.0,331.0,4.375
4341,586.0,39.0,43.0,213.0,3.75
4342,249.0,6.0,20.0,837.0,4.375
4343,233.0,10.0,12.0,84.0,3.75
4344,864.0,19.0,54.0,706.0,3.125
4346,177.0,1.0,0.0,6.0,3.125
4347,1152.0,15.0,120.0,607.0,5.0
4348,298.0,3.0,30.0,444.0,4.375
4349,310.0,25.0,14.0,1810.0,3.125
4351,281.0,5.0,11.0,17.0,4.375
4352,248.0,10.0,2.0,601.0,3.75
4353,662.0,14.0,36.0,401.0,5.0
4354,261.0,11.0,16.0,340.0,4.375
4355,270.0,21.0,15.0,736.0,4.375
4356,374.0,19.0,17.0,811.0,3.125
4357,513.0,5.0,24.0,250.0,0.0
4360,1923.0,28.0,111.0,1073.0,4.375
4362,823.0,24.0,37.0,370.0,4.375
4363,732.0,42.0,33.0,802.0,4.375
4365,1386.0,105.0,98.0,578.0,3.75
4366,349.0,7.0,17.0,44.0,3.125
4368,464.0,21.0,29.0,734.0,4.375
4369,754.0,16.0,73.0,957.0,5.0
4370,112.0,4.0,8.0,37.0,3.125
4371,200.0,2.0,15.0,231.0,5.0
4372,388.0,43.0,15.0,80.0,4.375
4373,185.0,2.0,11.0,57.0,4.375
4374,453.0,13.0,35.0,621.0,4.375
4376,171.0,2.0,7.0,1176.0,4.375
4377,357.0,3.0,22.0,19.0,5.0
4378,291.0,2.0,18.0,105.0,4.375
4381,341.0,2.0,0.0,13.0,0.0
4382,640.0,45.0,37.0,1582.0,4.375
4385,935.0,75.0,36.0,1991.0,4.375
4386,197.0,13.0,9.0,567.0,4.375
4387,928.0,6.0,53.0,853.0,4.375
4388,1327.0,73.0,107.0,1896.0,3.75
4393,961.0,69.0,69.0,984.0,3.75
4394,557.0,31.0,27.0,823.0,4.375
4395,540.0,31.0,41.0,1062.0,5.0
4398,159.0,2.0,8.0,73.0,3.75
4399,632.0,8.0,37.0,73.0,2.5
4400,830.0,56.0,58.0,2373.0,4.375
4401,184.0,0.0,20.0,137.0,4.375
4402,177.0,0.0,0.0,3.0,0.0
4403,254.0,1.0,11.0,415.0,3.75
4404,252.0,1.0,1.0,10.0,3.75
4405,292.0,4.0,30.0,388.0,0.0
4406,804.0,33.0,54.0,323.0,4.375
4407,522.0,25.0,27.0,1201.0,4.375
4408,195.0,8.0,11.0,237.0,3.75
4409,660.0,24.0,56.0,1230.0,4.375
4411,242.0,31.0,8.0,1609.0,4.375
4413,663.0,13.0,49.0,109.0,3.125
4415,326.0,39.0,16.0,901.0,4.375
4421,449.0,28.0,14.0,296.0,3.125
4422,321.0,2.0,0.0,3.0,4.375
4423,1095.0,64.0,56.0,663.0,4.375
4424,342.0,6.0,29.0,333.0,4.375
4425,538.0,23.0,31.0,844.0,4.375
4426,251.0,4.0,9.0,35.0,0.0
4428,187.0,3.0,1.0,37.0,5.0
4429,272.0,4.0,15.0,79.0,4.375
4430,420.0,14.0,16.0,168.0,1.875
4431,338.0,41.0,11.0,3035.0,5.0
4432,448.0,29.0,17.0,1919.0,3.75
4433,271.0,25.0,14.0,68.0,3.125
4434,277.0,5.0,10.0,44.0,3.125
4437,419.0,32.0,29.0,82.0,3.125
4438,404.0,21.0,29.0,408.0,4.375
4439,659.0,11.0,28.0,295.0,4.375
4441,161.0,2.0,12.0,43.0,2.5
4443,960.0,40.0,47.0,1010.0,3.75
4444,1315.0,142.0,78.0,533.0,4.375
4445,196.0,1.0,0.0,309.0,4.375
4447,401.0,10.0,15.0,25.0,4.375
4448,605.0,25.0,13.0,349.0,4.375
4449,122.0,2.0,7.0,176.0,3.125
4450,642.0,27.0,44.0,343.0,4.375
4451,208.0,3.0,8.0,186.0,4.375
4452,108.0,6.0,4.0,965.0,4.375
4453,151.0,0.0,0.0,1.0,0.0
4454,561.0,37.0,33.0,584.0,4.375
4456,110.0,3.0,7.0,84.0,4.375
4457,697.0,6.0,39.0,535.0,5.0
4458,935.0,51.0,73.0,693.0,5.0
4459,996.0,34.0,38.0,566.0,3.75
4463,207.0,3.0,5.0,588.0,3.75
4464,122.0,2.0,7.0,176.0,3.125
4466,277.0,1.0,0.0,5.0,4.375
4467,1378.0,93.0,106.0,1661.0,5.0
4468,396.0,17.0,31.0,913.0,4.375
4470,537.0,31.0,28.0,249.0,4.375
4471,935.0,26.0,70.0,1302.0,3.125
4472,1087.0,56.0,74.0,2577.0,4.375
4473,575.0,7.0,37.0,221.0,4.375
4478,535.0,50.0,28.0,177.0,4.375
4480,258.0,5.0,14.0,109.0,3.75
4481,259.0,24.0,16.0,373.0,0.0
4483,114.0,1.0,12.0,131.0,0.0
4484,326.0,1.0,0.0,4.0,4.375
4485,430.0,22.0,27.0,684.0,4.375
4486,465.0,36.0,34.0,674.0,4.375
4487,243.0,2.0,20.0,176.0,5.0
4488,273.0,19.0,10.0,629.0,2.5
4489,258.0,4.0,15.0,160.0,3.75
4490,317.0,0.0,0.0,3.0,4.375
4492,154.0,1.0,7.0,590.0,4.375
4495,527.0,23.0,22.0,943.0,5.0
4496,324.0,12.0,28.0,419.0,3.75
4497,285.0,4.0,17.0,217.0,4.375
4498,437.0,9.0,36.0,342.0,4.375
4499,668.0,15.0,35.0,341.0,4.375
4501,462.0,45.0,18.0,662.0,4.375
4502,121.0,1.0,10.0,6.0,3.75
4503,303.0,8.0,7.0,529.0,2.5
4504,258.0,7.0,9.0,163.0,3.75
4505,890.0,28.0,58.0,548.0,4.375
4506,361.0,19.0,16.0,659.0,4.375
4508,1441.0,36.0,57.0,1458.0,5.0
4509,1782.0,30.0,16.0,1004.0,4.375
4510,162.0,4.0,3.0,35.0,4.375
4511,882.0,62.0,65.0,1629.0,4.375
4514,206.0,0.0,23.0,243.0,0.0
4515,208.0,0.0,23.0,242.0,0.0
4516,837.0,54.0,50.0,1490.0,4.375
4517,223.0,2.0,19.0,4.0,1.25
4521,300.0,3.0,16.0,216.0,4.375
4522,392.0,4.0,15.0,137.0,4.375
4523,225.0,1.0,22.0,23.0,0.0
4525,901.0,22.0,88.0,109.0,4.375
4528,767.0,5.0,4.0,293.0,4.375
4529,1122.0,12.0,76.0,671.0,3.75
4530,630.0,19.0,37.0,364.0,4.375
4531,522.0,6.0,37.0,606.0,4.375
4534,635.0,5.0,42.0,820.0,3.75
4535,812.0,42.0,55.0,363.0,5.0
4536,348.0,5.0,24.0,330.0,4.375
4538,889.0,68.0,58.0,1322.0,4.375
4541,234.0,20.0,13.0,61.0,4.375
4542,266.0,6.0,19.0,228.0,4.375
4543,331.0,16.0,19.0,898.0,3.125
4546,868.0,24.0,54.0,856.0,3.75
4547,172.0,0.0,0.0,10.0,2.5
4548,778.0,25.0,56.0,633.0,4.375
4549,258.0,7.0,22.0,249.0,3.75
4552,527.0,13.0,17.0,24.0,3.75
4554,615.0,34.0,43.0,989.0,4.375
4558,303.0,8.0,16.0,157.0,2.5
4559,576.0,36.0,37.0,461.0,3.75
4560,1253.0,102.0,78.0,3874.0,3.75
