,calories,protein,fat,sodium,rating
204,1117.0,56.0,70.0,1632.0,5.0
205,280.0,8.0,24.0,179.0,0.0
206,468.0,20.0,30.0,586.0,4.375
207,514.0,15.0,30.0,618.0,4.375
208,417.0,46.0,25.0,127.0,4.375
209,303.0,8.0,26.0,202.0,3.125
211,138.0,3.0,2.0,21.0,0.0
213,553.0,8.0,34.0,174.0,4.375
214,454.0,19.0,29.0,136.0,3.75
216,311.0,4.0,20.0,19.0,3.125
217,495.0,14.0,21.0,864.0,3.75
218,264.0,12.0,12.0,450.0,2.5
222,279.0,2.0,2.0,792.0,5.0
224,318.0,38.0,10.0,222.0,4.375
225,140.0,2.0,1.0,2.0,4.375
226,277.0,7.0,15.0,141.0,3.125
227,345.0,16.0,15.0,418.0,4.375
229,172.0,2.0,1.0,14.0,0.0
230,375.0,27.0,26.0,110.0,3.75
231,369.0,15.0,21.0,637.0,4.375
232,262.0,7.0,12.0,80.0,4.375
233,240.0,2.0,16.0,74.0,5.0
234,136.0,5.0,11.0,116.0,4.375
235,188.0,28.0,6.0,272.0,3.125
236,273.0,4.0,12.0,273.0,3.75
237,142.0,0.0,16.0,234.0,3.75
238,234.0,2.0,21.0,396.0,0.0
240,245.0,17.0,15.0,405.0,4.375
241,240.0,1.0,7.0,8.0,3.75
242,147.0,2.0,13.0,30.0,0.0
243,731.0,43.0,55.0,1611.0,1.25
244,966.0,118.0,42.0,1118.0,4.375
245,313.0,2.0,27.0,7.0,0.0
246,1153.0,160.0,50.0,2975.0,4.375
247,640.0,21.0,33.0,1183.0,5.0
248,352.0,6.0,4.0,139.0,3.125
249,250.0,33.0,11.0,123.0,3.75
250,463.0,5.0,21.0,150.0,4.375
251,347.0,3.0,7.0,89.0,5.0
252,333.0,12.0,26.0,693.0,4.375
253,695.0,29.0,45.0,1251.0,3.75
255,1296.0,120.0,70.0,11779.0,3.75
256,411.0,12.0,22.0,1050.0,0.0
258,354.0,3.0,36.0,37.0,3.125
259,219.0,9.0,17.0,160.0,4.375
260,225.0,28.0,10.0,2397.0,5.0
264,200.0,8.0,3.0,486.0,4.375
265,213.0,6.0,5.0,129.0,4.375
266,280.0,4.0,6.0,4.0,3.75
268,272.0,10.0,3.0,15.0,4.375
269,386.0,5.0,7.0,435.0,5.0
270,731.0,27.0,43.0,2708.0,0.0
271,173.0,5.0,7.0,3.0,5.0
272,906.0,57.0,53.0,284.0,4.375
274,254.0,4.0,15.0,89.0,3.75
275,787.0,45.0,26.0,1006.0,3.75
276,228.0,19.0,16.0,172.0,3.75
277,179.0,4.0,0.0,119.0,4.375
278,593.0,32.0,40.0,779.0,0.0
280,885.0,56.0,28.0,865.0,4.375
281,209.0,45.0,2.0,1301.0,4.375
283,234.0,9.0,18.0,305.0,4.375
284,331.0,4.0,20.0,23.0,5.0
287,944.0,50.0,75.0,380.0,5.0
293,143.0,0.0,15.0,172.0,0.0
294,412.0,30.0,12.0,976.0,3.75
295,282.0,4.0,14.0,15.0,3.75
296,145.0,9.0,3.0,1528.0,3.75
297,1630.0,105.0,114.0,1730.0,3.125
298,392.0,12.0,19.0,656.0,3.125
299,500.0,10.0,23.0,202.0,3.75
300,939.0,78.0,48.0,675.0,3.125
303,159.0,3.0,12.0,15.0,3.75
305,489.0,28.0,27.0,133.0,4.375
306,190.0,4.0,4.0,90.0,0.0
310,213.0,3.0,7.0,95.0,3.75
312,1587.0,190.0,71.0,2993.0,4.375
313,199.0,10.0,12.0,52.0,4.375
314,162.0,2.0,1.0,153.0,3.75
315,199.0,6.0,12.0,186.0,3.125
318,420.0,21.0,25.0,576.0,4.375
319,1370.0,31.0,88.0,270.0,3.75
322,203.0,0.0,8.0,46.0,0.0
323,948.0,67.0,50.0,1911.0,4.375
325,730.0,8.0,59.0,252.0,3.75
326,223.0,5.0,15.0,41.0,3.125
327,209.0,4.0,16.0,33.0,4.375
329,516.0,41.0,31.0,653.0,3.125
330,1007.0,42.0,76.0,263.0,4.375
331,727.0,53.0,55.0,1509.0,4.375
333,102.0,2.0,2.0,40.0,4.375
335,352.0,9.0,28.0,44.0,3.75
337,381.0,8.0,19.0,215.0,3.75
338,101.0,0.0,0.0,1.0,0.0
339,176.0,3.0,0.0,393.0,2.5
341,363.0,5.0,17.0,129.0,4.375
342,241.0,7.0,19.0,280.0,0.0
343,234.0,3.0,16.0,626.0,4.375
344,273.0,3.0,14.0,179.0,4.375
345,563.0,2.0,58.0,35.0,3.75
346,828.0,42.0,29.0,847.0,3.125
348,122.0,4.0,2.0,8.0,3.75
349,509.0,7.0,38.0,51.0,3.75
350,657.0,57.0,29.0,1534.0,4.375
352,749.0,1.0,73.0,937.0,5.0
353,308.0,6.0,16.0,53.0,3.75
354,156.0,9.0,8.0,114.0,4.375
355,124.0,3.0,6.0,244.0,4.375
356,1165.0,68.0,71.0,1517.0,3.75
358,313.0,7.0,14.0,45.0,3.125
359,410.0,5.0,44.0,360.0,4.375
360,414.0,20.0,29.0,998.0,4.375
362,1054.0,56.0,73.0,1690.0,4.375
364,183.0,0.0,20.0,147.0,4.375
366,490.0,27.0,32.0,738.0,4.375
367,1064.0,52.0,69.0,3749.0,4.375
368,623.0,6.0,60.0,31.0,4.375
369,261.0,2.0,7.0,54.0,3.75
370,445.0,5.0,17.0,46.0,4.375
371,1007.0,63.0,70.0,713.0,3.75
372,268.0,6.0,25.0,60.0,0.0
374,175.0,1.0,1.0,6.0,0.0
375,280.0,4.0,19.0,339.0,5.0
377,494.0,41.0,23.0,1136.0,5.0
378,860.0,8.0,44.0,343.0,5.0
